dwelling,Student housing 4p,Student housing 2p,Student housing 8p,Elderly housing 1-2p,Starter housing 2p,Starter housing 3p,Family housing 4p,Supermarket ,Care center,Physical center elderly ,Gym,Working spaces,Cafe,Restaurant,Bar,Lobby,Parking ,Bycicle parking,Atrium,Biergarten,Nightclub
str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
Student housing 4p,1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Student housing 2p,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Student housing 8p,0.5,0.5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Elderly housing 1-2p,0,0.3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Starter housing 2p,0.3,0.3,0,0.3,1,0.3,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Starter housing 3p,0,0.3,0,0.3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Family housing 4p,0,0.3,0,0.3,-1,0.5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Supermarket ,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,-1,0.15,-1,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1
Care center,0.15,0.15,0.15,0.5,0.15,0.5,0.5,0.15,1,0.5,-1,0,-1,-1,-1,-1,1,0.5,-1,-1,-1
Physical center elderly ,0.15,0.15,0.15,0.75,0.15,0.15,0.15,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gym,0.75,0.75,0.75,0.3,0.5,0.5,0.5,0.15,0,0.5,1,0.15,-1,-1,-1,-1,0.5,0.75,-1,-1,-1
Working spaces,0.75,0.75,0.75,0.15,0.5,0.5,0.5,-1,-1,0.15,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cafe,0.5,0.5,0.5,0,0.3,0,0,0.15,0,0,0,0.15,1,-1,-1,-1,0.3,0.5,-1,-1,-1
Restaurant,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.15,0,0,0,0.3,0.5,1,-1,-1,0.75,0.75,-1,-1,-1
Bar,0.5,0.5,0.5,0,0.3,0,0,0.15,0,0,0,0,0.5,0.5,1,-1,0.3,0.75,-1,-1,-1
Lobby,0.15,0.15,0.15,0.75,0.15,0.5,0.5,0.75,1,1,0.5,0.5,0.75,0.75,0.75,1,0.5,0.5,-1,-1,-1
Parking ,0.15,0.15,0.15,0.75,0.3,0.3,0.3,1,-1,1,-1,0.5,-1,-1,-1,-1,1,0.5,-1,-1,-1
Bycicle parking,0.75,0.75,0.75,0.15,0.3,0.3,0.3,1,-1,0.3,-1,0.5,-1,-1,-1,-1,-1,1,-1,-1,-1
Atrium,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.3,0.3,0.15,0.15,0.3,0.5,0.15,0.15,0.75,0.15,0.3,1,-1,-1
Biergarten,0.5,0.5,0.5,0.15,0.15,0,0,0.15,0,0.15,0.15,0.3,0.5,0.5,0.5,0,0.75,0.75,0.15,1,-1
Nightclub,0.5,0.5,0.5,0,0.15,0,0,0,0,0.15,0.15,0,0.5,0.15,0.5,0,0,0.75,0.15,0.5,1
